lr-Adam,step,train_base,val_base
,92,,7.604287147521973
,92,7.477177619934082,
6.25e-07,915399,,
,93,,7.606203079223633
,93,7.477391719818115,
6.25e-07,925242,,
,94,,7.602761268615723
,94,7.474795818328857,
6.25e-07,935085,,
,95,,7.601227760314941
,95,7.474005222320557,
6.25e-07,944928,,
,96,,7.594383716583252
,96,7.470139026641846,
6.25e-07,954771,,
,97,,7.595513820648193
,97,7.469038963317871,
6.25e-07,964614,,
,98,,7.586357116699219
,98,7.466238021850586,
6.25e-07,974457,,
,99,,7.5954413414001465
,99,7.463704586029053,
3.125e-07,984300,,
,100,,7.586833477020264
,100,7.456519603729248,
3.125e-07,994143,,
,101,,7.591037273406982
,101,7.455883979797363,
3.125e-07,1003986,,
,102,,7.5877885818481445
,102,7.455268859863281,
3.125e-07,1013829,,
,103,,7.583726406097412
,103,7.454959869384766,
3.125e-07,1023672,,
,104,,7.58329963684082
,104,7.454731464385986,
3.125e-07,1033515,,
,105,,7.58786153793335
,105,7.451894760131836,
3.125e-07,1043358,,
,106,,7.582154750823975
,106,7.450923919677734,
3.125e-07,1053201,,
,107,,7.579413414001465
,107,7.449077129364014,
3.125e-07,1063044,,
,108,,7.584743499755859
,108,7.45048189163208,
3.125e-07,1072887,,
,109,,7.577198505401611
,109,7.448755741119385,
3.125e-07,1082730,,
,110,,7.577362060546875
,110,7.447334289550781,
3.125e-07,1092573,,
,111,,7.577578067779541
,111,7.445895671844482,
3.125e-07,1102416,,
,112,,7.575418472290039
,112,7.4464898109436035,
3.125e-07,1112259,,
,113,,7.575130462646484
,113,7.4412922859191895,
3.125e-07,1122102,,
,114,,7.5738444328308105
,114,7.440805912017822,
3.125e-07,1131945,,
,115,,7.575345039367676
,115,7.4401373863220215,
3.125e-07,1141788,,
,116,,7.5728068351745605
,116,7.438907146453857,
3.125e-07,1151631,,
,117,,7.5709052085876465
,117,7.438538074493408,
3.125e-07,1161474,,
,118,,7.573378086090088
,118,7.437664985656738,
3.125e-07,1171317,,
,119,,7.567952632904053
,119,7.436670780181885,
1.5625e-07,1181160,,
,120,,7.568490028381348
,120,7.434344291687012,
1.5625e-07,1191003,,
,121,,7.569411754608154
,121,7.432913780212402,
1.5625e-07,1200846,,
,122,,7.56314754486084
,122,7.4333672523498535,
1.5625e-07,1210689,,
,123,,7.5648298263549805
,123,7.4321136474609375,
1.5625e-07,1220532,,
,124,,7.562782287597656
,124,7.43056058883667,
1.5625e-07,1230375,,
,125,,7.56372594833374
,125,7.429896831512451,
1.5625e-07,1240218,,
,126,,7.566873073577881
,126,7.430664539337158,
1.5625e-07,1250061,,
,127,,7.562022686004639
,127,7.428999423980713,
1.5625e-07,1259904,,
,128,,7.565269947052002
,128,7.427715301513672,
1.5625e-07,1269747,,
,129,,7.562522888183594
,129,7.428806304931641,
1.5625e-07,1279590,,
,130,,7.566860675811768
,130,7.42710542678833,
1.5625e-07,1289433,,
,131,,7.563096523284912
,131,7.42764139175415,
1.5625e-07,1299276,,
,132,,7.561252593994141
,132,7.426084995269775,
1.5625e-07,1309119,,
,133,,7.559124946594238
,133,7.425775527954102,
1.5625e-07,1318962,,
,134,,7.559767246246338
,134,7.426533222198486,
1.5625e-07,1328805,,
,135,,7.558892726898193
,135,7.426188945770264,
1.5625e-07,1338648,,
,136,,7.558797359466553
,136,7.4251580238342285,
1.5625e-07,1348491,,
,137,,7.558783531188965
,137,7.423499584197998,
1.5625e-07,1358334,,
,138,,7.561352729797363
,138,7.42476749420166,
1.5625e-07,1368177,,
,139,,7.557812690734863
,139,7.424312591552734,
7.8125e-08,1378020,,
,140,,7.559359073638916
,140,7.421535968780518,
7.8125e-08,1387863,,
,141,,7.560492038726807
,141,7.422098636627197,
7.8125e-08,1397706,,
,142,,7.558029651641846
,142,7.420206546783447,
7.8125e-08,1407549,,
,143,,7.553849220275879
,143,7.420947074890137,
7.8125e-08,1417392,,
,144,,7.5556159019470215
,144,7.421433925628662,
7.8125e-08,1427235,,
,145,,7.553618431091309
,145,7.421879768371582,
7.8125e-08,1437078,,
,146,,7.557697772979736
,146,7.418289661407471,
7.8125e-08,1446921,,
,147,,7.556609153747559
,147,7.420305252075195,
7.8125e-08,1456764,,
,148,,7.554178714752197
